Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,width,height
4x_Control_4hrRS_B6_WT-1-1-2_0001.png,434.831501605687,349.6669338760169,340.2839085210072,-412.2921284885563,5.2343957059484865,-17.417813945501507,7.848104009111921,2.403472545628631,-345.1421948247456,5467,4078
4x_Control_4hrRS_B6_WT-1-1-3_0001.png,436.3540398871094,348.19063763867206,283.75315815107274,-411.7052121979833,5.038509785935446,8.61429128876199,-18.397390329476195,2.5262683013696687,-317.2102611973999,4995,3725
4x_Control_4hrRS_B6_WT-1-1-1_0001.png,439.7192462189246,366.72608661477693,337.56541434387753,-418.8810050879662,5.305820418018357,-16.008677512494558,9.77401628057305,2.4201235037766082,-350.7336418657245,5467,4078
